PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
39969,2025-10-20,11:31:14,00:00,0.0,0.0,352,410015632,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:15,00:01,98.8,0.4,263296,411683248,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:16,00:02,90.7,0.6,432224,412157568,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:17,00:03,81.3,0.7,486384,412306416,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:18,00:04,4.4,0.8,533280,412348432,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:19,00:05,89.7,0.9,591376,491983520,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:20,00:06,78.0,0.9,591376,491983520,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:21,00:08,26.4,0.4,249680,491981280,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:23,00:09,63.6,0.4,249616,491981280,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:24,00:10,28.9,0.4,251696,491975136,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:25,00:11,41.1,0.2,110016,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:26,00:12,76.0,0.2,110976,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:27,00:14,2.1,0.2,111008,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:29,00:15,30.6,0.2,110176,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:30,00:16,64.0,0.0,15744,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:31,00:17,33.1,0.0,16736,491974016,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:32,00:18,60.0,0.0,13712,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:34,00:20,1.9,0.0,14880,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:35,00:22,9.4,0.0,14880,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:37,00:24,23.8,0.0,12800,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:39,00:25,14.5,0.0,6224,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:40,00:27,12.2,0.0,1904,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:42,00:29,1.6,0.0,1616,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:44,00:30,92.0,0.0,8272,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:45,00:32,52.0,0.0,4000,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:47,00:33,1.9,0.0,4512,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:48,00:35,9.8,0.0,5536,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:50,00:36,25.1,0.0,3904,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
39969,2025-10-20,11:31:51,00:38,21.2,0.0,1888,491974576,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 4998_2_bench.py
