PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
90121,2025-10-20,13:05:06,00:00,0.0,0.0,496,410015536,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:07,00:01,59.5,0.3,185184,411732560,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:08,00:02,49.5,0.4,262224,411816112,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:09,00:03,58.6,0.5,329168,412044464,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:10,00:04,8.1,0.6,425200,412172496,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:11,00:05,82.3,0.8,568160,413566032,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:12,00:06,97.9,0.9,591392,450157600,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:13,00:07,72.7,0.9,592208,472722976,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:14,00:08,32.8,0.9,592256,472722976,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:15,00:09,10.0,0.6,424160,479168032,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:18,00:13,0.3,0.6,421120,479161888,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:20,00:15,11.7,0.6,419872,479161888,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:22,00:16,99.0,0.6,420032,479161888,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:23,00:17,88.7,0.6,421488,479161888,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:24,00:18,37.6,0.6,423248,485608992,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:25,00:20,4.8,0.6,422944,485608992,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
90121,2025-10-20,13:05:27,00:22,12.0,0.6,422368,485608992,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python 2500_2500_bench.py
